Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,10:12:50,10:29:00,10:41:30,10:55:20
22-23-Я ЛИНИИ,10:13:40,10:30:00,10:42:20,10:56:20
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:16:40,10:32:20,10:44:00,10:58:40
12-13-Я ЛИНИИ,10:18:50,10:34:20,10:45:40,11:00:40
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:21:40,10:36:20,10:48:10,11:03:10
1-Я И КАДЕТСКАЯ ЛИНИИ,10:23:20,10:37:30,10:49:10,11:04:40
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:24:40,10:38:40,10:50:30,11:06:00
"МЕТРО ""СПОРТИВНАЯ""",10:26:00,10:40:20,10:51:30,00:00:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:27:00,10:41:20,10:52:30,00:00:00
ЗВЕРИНСКАЯ УЛ.,10:28:40,10:42:40,10:54:00,00:00:00
ВВЕДЕНСКАЯ УЛ.,10:30:00,10:43:50,10:55:30,00:00:00
СЫТНЫЙ РЫНОК,10:31:20,10:45:20,10:56:30,00:00:00
"МЕТРО ""ГОРЬКОВСКАЯ""",10:32:40,10:46:30,10:57:50,11:13:20
ТРОИЦКАЯ ПЛ. П.С.,10:33:50,10:47:30,10:59:00,11:14:50
УЛИЦА ЧАПАЕВА,10:35:00,10:48:50,11:00:20,11:16:10
