Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,10:12:10,10:30:40,10:43:50,10:56:40
22-23-Я ЛИНИИ,10:13:00,10:31:30,10:44:40,10:57:30
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:14:40,10:33:50,10:46:30,11:00:10
12-13-Я ЛИНИИ,10:16:50,10:35:40,10:48:20,11:02:20
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:19:00,10:38:10,10:51:00,11:04:50
1-Я И КАДЕТСКАЯ ЛИНИИ,10:20:10,10:39:50,10:52:40,11:06:00
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:21:50,10:41:10,10:54:00,11:07:40
"МЕТРО ""СПОРТИВНАЯ""",10:23:00,10:42:20,10:55:40,00:00:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:24:20,10:44:00,10:57:10,00:00:00
ЗВЕРИНСКАЯ УЛ.,10:25:30,10:45:20,10:58:10,00:00:00
ВВЕДЕНСКАЯ УЛ.,10:27:10,10:47:00,10:59:30,00:00:00
СЫТНЫЙ РЫНОК,10:28:10,10:48:10,11:01:00,00:00:00
"МЕТРО ""ГОРЬКОВСКАЯ""",10:29:50,10:49:40,11:02:10,11:15:00
ТРОИЦКАЯ ПЛ. П.С.,10:31:00,10:50:40,11:03:30,11:16:00
УЛИЦА ЧАПАЕВА,10:32:20,10:51:50,11:04:40,11:17:30
